Month,Existing Properties
1,156
2,222
3,247
4,287
5,256
6,195
7,172
8,218
9,225
10,287
11,406
12,531
13,248
14,320
15,499
16,382
17,475
18,530
19,480
20,423
21,379
22,421
23,440
24,397
25,227
26,305
27,465
28,365
29,489
30,485
31,315
32,385
33,264
34,301
35,353
36,513
37,558
38,417
39,426
40,390
41,500
42,421
43,535
44,699
45,551
46,565
47,478
48,488
49,401
50,547
51,468
52,633
53,636
54,648
55,653
56,499
57,534
58,566
59,586
60,865
61,407
62,485
63,741
64,1028
65,976
66,904
67,709
68,710
69,730
70,730
71,684
72,970
73,476
74,586
75,783
76,849
77,935
78,1020
79,844
80,750
81,725
82,870
83,778
84,865
85,772
86,732
87,944
88,878
89,890
90,887
91,908
92,874
93,872
94,995
95,860
96,902
97,1019
98,1015
99,1117
100,1156
101,1015
102,878
103,758
104,711
105,709
106,1090
107,922
108,958
109,599
110,510
111,871
112,932
113,940
114,802
115,828
116,1070
117,918
118,1245
119,1054
120,1043
121,971
122,858
123,1092
124,964
125,896
126,1056
127,872
128,800
129,875
130,1014
131,801
132,777
133,769
134,741
135,841
136,1020
137,1020
138,888
139,842
140,901
141,830
142,890
143,860
144,755
145,666
146,899
147,1211
148,1166
149,1099
150,982
151,714
152,779
153,737
154,693
155,699
156,601
157,462
158,473
159,682
160,645
161,815
162,807
163,704
164,779
165,630
166,670
167,673
168,516
169,531
170,691
171,887
172,888
173,973
174,779
175,866
176,826
177,794
178,849
179,896
180,831
181,815
182,887
183,1056
184,1179
185,1003
186,990
187,1002
188,873
189,907
190,1085
191,934
192,780
193,766
194,827
195,1115
196,1191
197,1144
198,1215
199,1050
200,899
201,1001
202,1149
203,979
204,826
205,697
206,898
207,1254
208,1219
209,1341
210,1404
211,1292
212,1193
213,1189
