Month,New Properties
1,451
2,426
3,334
4,288
5,349
6,418
7,323
8,329
9,443
10,544
11,883
12,913
13,949
14,1105
15,1242
16,1082
17,1112
18,1268
19,1101
20,1110
21,834
22,798
23,907
24,807
25,782
26,893
27,1200
28,1054
29,1128
30,791
31,734
32,558
33,537
34,759
35,764
36,833
37,916
38,1604
39,1511
40,1267
41,1478
42,1474
43,1727
44,1736
45,1457
46,1567
47,1284
48,1309
49,1398
50,1501
51,1381
52,1918
53,2420
54,3258
55,2753
56,1995
57,2124
58,1932
59,1735
60,1583
61,1419
62,2006
63,2866
64,3469
65,3242
66,3051
67,2347
68,1972
69,2035
70,1936
71,1741
72,1688
73,1358
74,1876
75,2326
76,3015
77,3239
78,3314
79,2776
80,2803
81,2534
82,2499
83,2890
84,2237
85,2320
86,2813
87,3481
88,3029
89,3691
90,3848
91,3446
92,3827
93,3582
94,4014
95,4009
96,3299
97,3169
98,3731
99,3879
100,4301
101,3427
102,2896
103,2582
104,2626
105,2312
106,3000
107,2664
108,2263
109,2224
110,2829
111,3895
112,4638
113,5218
114,5676
115,5451
116,4400
117,3576
118,3541
119,3309
120,3701
121,3287
122,4126
123,5315
124,4381
125,4313
126,4780
127,4383
128,4338
129,4779
130,5812
131,4959
132,3993
133,3318
134,3485
135,3173
136,3689
137,3746
138,4013
139,3556
140,3501
141,3350
142,3444
143,3240
144,2861
145,2506
146,3060
147,4048
148,4076
149,3896
150,3358
151,2668
152,2478
153,2311
154,2173
155,2385
156,2138
157,1767
158,1611
159,1775
160,1876
161,2350
162,2736
163,2610
164,3004
165,2531
166,2405
167,2406
168,1793
169,1828
170,2271
171,3100
172,3077
173,3244
174,3115
175,3106
176,3169
177,3136
178,3568
179,4079
180,3869
181,3426
182,3038
183,3333
184,3927
185,3542
186,3594
187,3415
188,2947
189,2966
190,3213
191,2953
192,2716
193,2161
194,2271
195,2560
196,2954
197,3293
198,3849
199,3733
200,3174
201,3140
202,3122
203,2988
204,2571
205,2067
206,2358
207,3423
208,3679
209,4215
210,4779
211,3732
212,3347
213,2939
